clip_result_id,step_id,step_index,action_name,object_args,has_requires_installed,has_produces_removed,produced_constraint_count,has_rule_coverage,warning_code,notes
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::09_assy_0_1::event_4,4,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::09_assy_0_1::event_11,11,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::09_assy_0_1::event_12,12,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::09_assy_0_1::event_13,13,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__10_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::10_assy_0_1::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__10_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::10_assy_0_1::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_only::test_p2::10_assy_3_2::event_6,6,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_0,0,remove,"[""base""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_1,1,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_2,2,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_3,3,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_10,10,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_12,12,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_17,17,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_18,18,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_0_1::event_19,19,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_3_4::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_3_4::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,step::raw_cad_dataset__all_test_clips::od_only::test_p2::12_assy_3_4::event_13,13,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::13_assy_0_1::event_4,4,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::13_assy_0_1::event_11,11,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::13_assy_0_1::event_12,12,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p2::13_assy_0_1::event_13,13,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_10,10,remove,"[""front_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_11,11,remove,"[""front_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_13,13,remove,"[""short_rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_14,14,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_15,15,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_16,16,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_17,17,remove,"[""rear_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_20,20,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_0_1::event_22,22,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_1_5::event_0,0,remove,"[""base""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_1_5::event_1,1,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_1_5::event_2,2,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_1_5::event_3,3,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_1_5::event_10,10,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_1_5::event_12,12,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::17_assy_1_5::event_16,16,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::18_assy_0_1::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::18_assy_0_1::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::18_assy_0_1::event_13,13,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::18_assy_0_1::event_14,14,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::18_assy_0_1::event_15,15,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::18_assy_2_5::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::18_assy_2_5::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::18_assy_2_5::event_13,13,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::19_assy_0_1::event_6,6,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::19_assy_3_5::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::19_assy_3_5::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,step::raw_cad_dataset__all_test_clips::od_only::test_p3::19_assy_3_5::event_12,12,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::23_assy_0_1::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p3::23_assy_0_1::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,step::raw_cad_dataset__all_test_clips::od_only::test_p3::23_assy_1_2::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,step::raw_cad_dataset__all_test_clips::od_only::test_p3::23_assy_1_2::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,step::raw_cad_dataset__all_test_clips::od_only::test_p3::23_assy_1_2::event_10,10,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::03_assy_0_1::event_9,9,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::03_assy_1_3::event_7,7,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::03_assy_1_3::event_15,15,remove,"[""front_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_8,8,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_14,14,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_16,16,remove,"[""short_rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_17,17,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_18,18,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_19,19,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_20,20,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_21,21,remove,"[""rear_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_23,23,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_31,31,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_2_4::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_2_4::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_2_4::event_16,16,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::09_assy_0_1::event_4,4,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::09_assy_0_1::event_11,11,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::09_assy_0_1::event_12,12,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::09_assy_0_1::event_13,13,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_0_1::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_0_1::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_3_2::event_7,7,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_3_2::event_13,13,remove,"[""front_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_3_2::event_14,14,remove,"[""front_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_3_2::event_15,15,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_3_2::event_16,16,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_3_2::event_17,17,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_3_2::event_18,18,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_3_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::10_assy_3_2::event_20,20,remove,"[""rear_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_0,0,remove,"[""base""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_1,1,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_2,2,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_3,3,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_10,10,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_12,12,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_17,17,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_18,18,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_0_1::event_19,19,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_3_4::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_3_4::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__12_assy_3_4,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::12_assy_3_4::event_14,14,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::13_assy_0_1::event_4,4,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::13_assy_0_1::event_11,11,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::13_assy_0_1::event_12,12,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__13_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p2::13_assy_0_1::event_13,13,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_12,12,remove,"[""front_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_13,13,remove,"[""front_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_15,15,remove,"[""short_rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_16,16,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_17,17,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p3__17_assy_0_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p3::17_assy_0_1::event_18,18,remove,"[""front_wheel_assy""]",True,True,2,True,,
