dependent_step_id,support_step_id,required_condition,has_validation_dependency_support,dependent_has_requirement_edge,support_has_produces_edge,support_status,rejected_support,status,notes
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_28,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,"{""args"": [""front_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_3,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,"{""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_30,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,"{""args"": [""front_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_31,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_15,"{""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_32,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,"{""args"": [""base"", ""workspace""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_4,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,"{""args"": [""base"", ""workspace""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,"{""args"": [""base"", ""workspace""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_7,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,"{""args"": [""front_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_8,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_4,"{""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_9,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,"{""args"": [""base"", ""workspace""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
