constraint_id,step_id,name,kind,args,conf,rule_id,rule_type,threshold,aggregation,evidence_predicate_ids,status
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4,produces,expected_effect,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""installed"", ""front_chassis_pin"", ""front_chassis""]",1,effect_install_component_on_target,expected_effect,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_front_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::isA::front_chassis_pin_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasInstallTarget::front_chassis_pin_front_chassis""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_al,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4,requires,implicit_assembly_condition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""aligned"", ""front_chassis_pin"", ""front_chassis""]",1,implicit_domain_required_condition,implicit_assembly_condition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_front_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::isA::front_chassis_pin_chassispin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasRequiredCondition::front_chassis_pin_aligned_front_chassis_pin_front_chassis""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_se,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4,requiresSafety,safety_constraint,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""secured"", ""base"", ""workspace""]",1,safety_domain_requirement,safety_constraint,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_front_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::isA::front_chassis_pin_chassispin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasSafetyRequirement::front_chassis_pin_secured_base_workspace""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5,requires,inferred_precondition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""installed"", ""rear_chassis"", ""base""]",1,precondition_install_requires_target_installed,inferred_precondition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_rear_rear_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::isA::rear_rear_chassis_pin_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::requiresInstalledBefore::rear_rear_chassis_pin_rear_chassis_base""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5,produces,expected_effect,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""installed"", ""rear_rear_chassis_pin"", ""rear_chassis""]",1,effect_install_component_on_target,expected_effect,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_rear_rear_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::isA::rear_rear_chassis_pin_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::hasInstallTarget::rear_rear_chassis_pin_rear_chassis""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_al,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5,requires,implicit_assembly_condition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""aligned"", ""rear_rear_chassis_pin"", ""rear_chassis""]",1,implicit_domain_required_condition,implicit_assembly_condition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_rear_rear_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::isA::rear_rear_chassis_pin_chassispin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::hasRequiredCondition::rear_rear_chassis_pin_aligned_rear_rear_chassis_pin_rear_chassis""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_se,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5,requiresSafety,safety_constraint,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""secured"", ""base"", ""workspace""]",1,safety_domain_requirement,safety_constraint,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_rear_rear_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::isA::rear_rear_chassis_pin_chassispin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::hasSafetyRequirement::rear_rear_chassis_pin_secured_base_workspace""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6,requires,inferred_precondition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6"", ""installed"", ""front_chassis"", ""base""]",1,precondition_install_requires_target_installed,inferred_precondition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_6_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_6_front_bracket"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::isA::front_bracket_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::requiresInstalledBefore::front_bracket_front_chassis_base""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6,produces,expected_effect,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6"", ""installed"", ""front_bracket"", ""front_chassis""]",1,effect_install_component_on_target,expected_effect,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_6_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_6_front_bracket"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::isA::front_bracket_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::hasInstallTarget::front_bracket_front_chassis""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7,requires,inferred_precondition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7"", ""installed"", ""front_bracket"", ""front_chassis""]",1,precondition_install_requires_target_installed,inferred_precondition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_7_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_7_front_bracket_screw"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::isA::front_bracket_screw_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::requiresInstalledBefore::front_bracket_screw_front_bracket_front_chassis""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7,produces,expected_effect,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7"", ""installed"", ""front_bracket_screw"", ""front_bracket""]",1,effect_install_component_on_target,expected_effect,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_7_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_7_front_bracket_screw"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::isA::front_bracket_screw_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::hasInstallTarget::front_bracket_screw_front_bracket""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::tool_domain_requirement::0_0::requirestool::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_sc,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7,requiresTool,required_tool,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7"", ""screwdriver""]",1,tool_domain_requirement,required_tool,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_7_front_bracket_screw"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::isA::front_bracket_screw_screw"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::hasRequiredTool::front_bracket_screw_screwdriver""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_8_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8,requires,inferred_precondition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8"", ""installed"", ""front_chassis"", ""base""]",1,precondition_install_requires_target_installed,inferred_precondition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_8_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_8_front_wheel_assy"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::p::isA::front_wheel_assy_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::p::requiresInstalledBefore::front_wheel_assy_front_chassis_base""]",inferred
