source,target,type,properties
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_0_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_al,Rule::implicit_domain_required_condition,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_se,Rule::safety_domain_requirement,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_al,Rule::implicit_domain_required_condition,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_se,Rule::safety_domain_requirement,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_al,Rule::implicit_domain_required_condition,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_se,Rule::safety_domain_requirement,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::tool_domain_requirement::0_0::requirestool::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_sc,Rule::tool_domain_requirement,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_8_in,Rule::effect_install_component_on_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_8_in,Rule::precondition_install_requires_target_installed,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9::c::effect_remove_component_from_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_9_re,Rule::effect_remove_component_from_target,DERIVED_FROM,{}
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9::c::precondition_remove_requires_component_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_9_in,Rule::precondition_remove_requires_component_installed,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_0_install,Source::71af7a188e6b809a,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::hasInstallTarget::base_workspace,Source::41a8d1954ae8aa9b,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::hasLabel::base_base,Source::954ccef518381680,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::hasTimeWindow::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_0_70_9_118_7,Source::b76dc6b0163fce4c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::isA::base_base,Source::d7035e1df3c0c20c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::isA::base_component,Source::d7035e1df3c0c20c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_0_base,Source::3e9e862a166e7097,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_10_install,Source::71af7a188e6b809a,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::hasInstallTarget::rear_wheel_assy_rear_chassis,Source::780873d4aa54ce10,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::hasLabel::rear_wheel_assy_rear_wheel_assy,Source::954ccef518381680,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::hasParentComponent::rear_wheel_assy_rear_chassis,Source::64ff9391b0129efa,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::hasTimeWindow::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_10_273_5,Source::b76dc6b0163fce4c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::isA::rear_wheel_assy_component,Source::8213ca11a765558c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::isA::rear_wheel_assy_wheelassembly,Source::8213ca11a765558c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::requiresInstalledBefore::rear_wheel_assy_rear_chassis_base,Source::780873d4aa54ce10,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_10_rear_wheel_assy,Source::3e9e862a166e7097,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_install,Source::71af7a188e6b809a,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::hasInstallTarget::rear_chassis_base,Source::94bec6c3b20df9de,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::hasLabel::rear_chassis_rear_chassis,Source::954ccef518381680,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::hasTimeWindow::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_70_9_118_7,Source::b76dc6b0163fce4c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::isA::rear_chassis_chassis,Source::8770612fafd13e68,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::isA::rear_chassis_component,Source::8770612fafd13e68,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::requiresInstalledBefore::rear_chassis_base_workspace,Source::94bec6c3b20df9de,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_rear_chassis,Source::3e9e862a166e7097,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_install,Source::71af7a188e6b809a,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasInstallTarget::front_rear_chassis_pin_rear_chassis,Source::3441f2577147e2be,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasLabel::front_rear_chassis_pin_front_rear_chassis_pin,Source::954ccef518381680,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasParentComponent::front_rear_chassis_pin_rear_chassis,Source::24c437a3c36506f7,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasRequiredCondition::front_rear_chassis_pin_aligned_front_rear_chassis_pin_rear_chassis,Source::ec931313101ae37a,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasSafetyRequirement::front_rear_chassis_pin_secured_base_workspace,Source::7ffc2407f08a239d,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasTimeWindow::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_70_9_118_7,Source::b76dc6b0163fce4c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::isA::front_rear_chassis_pin_chassispin,Source::4908e4ac0ee8ab77,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::isA::front_rear_chassis_pin_component,Source::4908e4ac0ee8ab77,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::isA::front_rear_chassis_pin_fastener,Source::4908e4ac0ee8ab77,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::requiresInstalledBefore::front_rear_chassis_pin_rear_chassis_base,Source::3441f2577147e2be,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_front_rear_chassis_pin,Source::3e9e862a166e7097,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_install,Source::71af7a188e6b809a,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::hasInstallTarget::front_chassis_base,Source::e4184582678512e2,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::hasLabel::front_chassis_front_chassis,Source::954ccef518381680,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::hasTimeWindow::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_118_7_178_8,Source::b76dc6b0163fce4c,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::isA::front_chassis_chassis,Source::0f22e816be2f9da2,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::isA::front_chassis_component,Source::0f22e816be2f9da2,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::requiresInstalledBefore::front_chassis_base_workspace,Source::e4184582678512e2,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_front_chassis,Source::3e9e862a166e7097,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_install,Source::71af7a188e6b809a,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasInstallTarget::front_chassis_pin_front_chassis,Source::1a5e02d3427d0035,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasLabel::front_chassis_pin_front_chassis_pin,Source::954ccef518381680,DERIVED_FROM,{}
Predicate::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasParentComponent::front_chassis_pin_front_chassis,Source::86a1370ca2f36780,DERIVED_FROM,{}
