id,type,properties
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""installed"", ""base"", ""workspace""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in"", ""display_label"": ""requires installed(base, workspace) [supported]"", ""display_name"": ""requires installed"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_install_requires_target_installed"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""installed"", ""front_chassis_pin"", ""front_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in"", ""display_label"": ""produces installed(front_chassis_pin, front_chassis) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_al,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""aligned"", ""front_chassis_pin"", ""front_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_al"", ""display_label"": ""requires aligned(front_chassis_pin, front_chassis) [missing]"", ""display_name"": ""requires aligned"", ""kind"": ""implicit_assembly_condition"", ""name"": ""requires"", ""rule_id"": ""implicit_domain_required_condition"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_al"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""missing""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""installed"", ""front_chassis"", ""base""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in"", ""display_label"": ""requires installed(front_chassis, base) [supported]"", ""display_name"": ""requires installed"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_install_requires_target_installed"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_se,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""secured"", ""base"", ""workspace""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_se"", ""display_label"": ""requires safety secured(base, workspace) [missing]"", ""display_name"": ""requires safety secured"", ""kind"": ""safety_constraint"", ""name"": ""requiresSafety"", ""rule_id"": ""safety_domain_requirement"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_se"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""missing""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""installed"", ""rear_rear_chassis_pin"", ""rear_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in"", ""display_label"": ""produces installed(rear_rear_chassis_pin, rear_chassis) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_al,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""aligned"", ""rear_rear_chassis_pin"", ""rear_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_al"", ""display_label"": ""requires aligned(rear_rear_chassis_pin, rear_chassis) [missing]"", ""display_name"": ""requires aligned"", ""kind"": ""implicit_assembly_condition"", ""name"": ""requires"", ""rule_id"": ""implicit_domain_required_condition"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_al"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""missing""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""installed"", ""rear_chassis"", ""base""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in"", ""display_label"": ""requires installed(rear_chassis, base) [supported]"", ""display_name"": ""requires installed"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_install_requires_target_installed"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_se,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""secured"", ""base"", ""workspace""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_se"", ""display_label"": ""requires safety secured(base, workspace) [missing]"", ""display_name"": ""requires safety secured"", ""kind"": ""safety_constraint"", ""name"": ""requiresSafety"", ""rule_id"": ""safety_domain_requirement"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_se"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""missing""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6"", ""installed"", ""front_bracket"", ""front_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in"", ""display_label"": ""produces installed(front_bracket, front_chassis) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6"", ""installed"", ""front_chassis"", ""base""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in"", ""display_label"": ""requires installed(front_chassis, base) [supported]"", ""display_name"": ""requires installed"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_install_requires_target_installed"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7"", ""installed"", ""front_bracket_screw"", ""front_bracket""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in"", ""display_label"": ""produces installed(front_bracket_screw, front_bracket) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7"", ""installed"", ""front_bracket"", ""front_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in"", ""display_label"": ""requires installed(front_bracket, front_chassis) [supported]"", ""display_name"": ""requires installed"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_install_requires_target_installed"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
